Point(133.1977459 36.2789097):501 
Point(135.5430329 34.6971595):504 
Point(135.5113913 34.5570586):504 
Point(139.8776074 35.744251):504 
Point(135.410514 34.5043449):505 
Point(137.0791565 34.9691614):506 
Point(133.3415734 35.43753900000001):506 
Point(131.8703977 34.0150314):507 
Point(139.719059 35.6204066):508 
Point(139.7098858 35.5963547):511 
Point(139.8276492 35.689975):511 
Point(139.5597075 36.0854272):512 
Point(130.02421 32.8426277):512 
Point(135.516357 34.8128173):513 
Point(140.1026808 39.703907).1:514 
Point(141.4901961 40.5079413):518 
Point(136.9765267 35.2033163):518 
Point(139.664222 35.7653547):519 
Point(139.9035901 35.8570293):519 
Point(136.2315365 36.031118):521 
Point(140.1708865 35.6678777):521 
Point(132.221021 35.0112753):521 
Point(135.3173828 34.7313628):523 
Point(135.1208072 34.6474071):523 
Point(133.9352329 34.6067072):524 
Point(139.9409774 36.5674799):527 
Point(131.2503009 33.955584):527 
Point(135.5639847 34.5294692):528 
Point(130.7589282 32.2064635):530 
Point(139.815146 35.7202019):531 
Point(139.7346645 35.7194287):531 
Point(139.7266446 35.9148962):531 
Point(135.4127441 34.7250871):531 
Point(141.3331053 43.0820313):535 
Point(129.8495919 32.7055577):539 
Point(135.21206 34.6621412):539 
Point(135.1987627 34.2610732):539 
Point(139.8045157 35.77453510000001):540 
Point(139.7117829 35.5149206):541 
Point(139.4097976 35.8056126):541 
Point(135.561448 34.7160209):542 
Point(139.8530976 35.7608755):542 
Point(130.3518793 32.088342):545 
Point(135.763971 34.745738):548 
Point(130.2801537 33.4275987):550 
Point(136.8585363 34.7873666):551 
Point(132.7063887 33.7793348):556 
Point(134.0347077 34.2334691):556 
Point(133.8257005 34.3107152):558 
Point(140.1671688 36.0427672):561 
Point(130.3227599 31.4168733):561 
Point(136.1426014 34.7589115):562 
Point(134.7409633 34.8188168):564 
Point(139.6317448 35.3182278):565 
Point(130.2931962 31.8321617):565 
Point(140.4396435 40.5942053):567 
Point(134.295262 34.7863947):567 
Point(139.7679463 35.692767):570 
Point(130.7627325 31.7358698):570 
Point(139.5569825 36.1754206):570 
Point(135.7362941 34.889103):571 
Point(131.5627639 34.0517195):572 
Point(139.6903398 35.6525728):575 
Point(140.4494813 37.7669513):577 
Point(140.0136724 36.4403673):578 
Point(135.3486022 34.7316771):582 
Point(131.8765037 33.2470397):584 
Point(131.3962263 34.4086489):585 
Point(139.4918806 35.3388323):586 
Point(135.4104432 34.7935224):588 
Point(131.3709131 31.9308271):590 
Point(136.5528094 34.87787540000001):590 
